ShipmentID,CustomerID,Weightlbs,PaymentPerpound,TotalPayment,SendLocation,DestinationLocation,Barcode,DateShipped,PaymentType
1832,20240001832,, $ 42.00 , $ 42.00 ,USA,Oficina,20240001832,1/2/2025,Cash (Efectivo)
1833,20240001833,, $ 20.00 , $ 20.00 ,USA,Oficina,20240001833,1/4/2024,Cash (Efectivo)
1834,20240001834,, $ 40.00 , $ 40.00 ,USA,Oficina,20240001834,1/4/2025,
1835,20240001835,, $ 30.00 , $ 30.00 ,USA,Oficina,20240001835,1/4/2025,
1836,20240001836,, $ 30.00 , $ 30.00 ,USA,Oficina,20240001836,1/6/2025,
1837,20240001837,, $ 20.00 , $ 20.00 ,USA,Oficina,20240001837,1/6/2025,
1838,20240001838,, $ 30.00 , $ 30.00 ,LIMA,Peru,20240001838,1/6/2025,
1839,20240001839,, $ 66.00 , $ 66.00 ,USA,Oficina,20240001839,1/7/2025,
1840,20240001840,, $ 100.00 , $ 100.00 ,USA,Lurin,20240001840,1/7/2025,
1841,20240001841,, $ 90.00 , $ 90.00 ,USA,Oficina,20240001841,1/3/2025,
1842,20240001842,, $ 30.00 , $ 30.00 ,USA,Oficina,20240001842,1/8/2025,
1843,20240001843,, $ 39.00 , $ 39.00 ,USA,Chimbote,20240001843,1/8/2025,
1844,20240001844,, $ 60.00 , $ 60.00 ,USA,Oficina,20240001844,1/9/2025,
1845,20240001845,, $ 42.00 , $ 42.00 ,USA,Oficina,20240001845,1/10/2025,
1846,20240001846,, $ 20.00 , $ 20.00 ,USA,Oficina,20240001846,1/10/2025,
1847,20240001847,, $ 85.00 , $ 85.00 ,USA,Oficina,20240001847,1/10/2025,
1848,20240001848,, $ 103.00 , $ 103.00 ,USA,Oficina,20240001848,1/10/2025,
1849,20240001849,, $ 15.00 , $ 15.00 ,USA,Oficina,20240001849,1/10/2025,
1850,20240001850,, $ 25.00 , $ 25.00 ,USA,Oficina,20240001850,1/11/2025,
1851,20240001851,, $ 150.00 , $ 150.00 ,USA,Oficina,20240001851,1/11/2025,
1852,20240001852,, $ 80.00 , $ 80.00 ,USA,Oficina,20240001852,1/11/2025,
1853,20240001853,, $ 15.00 , $ 15.00 ,USA,Oficina,20240001853,1/14/2025,
1854,20240001854,, $ 75.00 , $ 75.00 ,USA,Oficina,20240001854,1/14/2025,
1855,20240001855,, $ 21.00 , $ 21.00 ,USA,Oficina,20240001855,1/15/2025,
1856,20240001856,, $ 20.00 , $ 20.00 ,USA,Oficina,20240001856,1/15/2025,
1857,20240001857,, $ 158.00 , $ 158.00 ,USA,Oficina,20240001857,1/16/2024,
1858,20240001858,, $ 30.00 , $ 30.00 ,USA,Oficina,20240001858,1/16/2025,
1859,20240001859,, $ 169.00 , $ 169.00 ,USA,Oficina,20240001859,1/16/2025,
1860,20240001860,, $ 66.00 , $ 66.00 ,USA,Oficina,20240001860,1/16/2025,
1861,20240001861,, $ 70.00 , $ 70.00 ,USA,Oficina,20240001861,1/16/2025,
1862,20240001862,, $ 10.00 , $ 10.00 ,USA,Oficina,20240001862,1/16/2025,
1863,20240001863,, $ 54.00 , $ 54.00 ,USA,Oficina,20240001863,1/16/2025,
1864,20240001864,, $ 45.00 , $ 45.00 ,USA,SMP,20240001864,1/22/2025,
1865,20240001865,, $ 170.00 , $ 170.00 ,USA,Oficina,20240001865,1/23/2025,
1866,20240001866,, $ 50.00 , $ 50.00 ,USA,Cuzco,20240001866,1/18/2025,
1867,20240001867,, $ 25.00 , $ 25.00 ,USA,Comas,20240001867,1/23/2025,
1868,20240001868,, $ 70.00 , $ 70.00 ,USA,Piura,20240001868,1/18/2025,
1869,20240001869,, $ 25.00 , $ 25.00 ,USA,Oficina,20240001869,1/20/2025,
1870,20240001870,, $ 12.00 , $ 12.00 ,USA,Oficina,20240001870,1/21/2025,
1871,20240001871,, $ 80.00 , $ 80.00 ,USA,Oficina,20240001871,1/24/2025,
1872,20240001872,, $ 120.00 , $ 120.00 ,USA,Oficina,20240001872,1/24/2025,
1873,20240001873,, $ 240.00 , $ 240.00 ,USA,Oficina,20240001873,1/25/2024,
1874,20240001874,, $ 30.00 , $ 30.00 ,USA,Oficina,20240001874,1/24/2025,
1875,20240001875,, $ 25.00 , $ 25.00 ,USA,Oficina,20240001875,1/24/2025,
1876,20240001876,, $ 150.00 , $ 150.00 ,USA,Oficina,20240001876,1/24/2025,
1877,20240001877,, $ 50.00 , $ 50.00 ,USA,Oficina,20240001877,1/25/2025,
1878,20240001878,, $ 139.00 , $ 139.00 ,USA,Oficina,20240001878,1/25/2025,
1879,20240001879,, $ 45.00 , $ 45.00 ,USA,Oficina,20240001879,1/27/2025,
1880,20240001880,, $ 96.00 , $ 96.00 ,USA,Oficina,20240001880,1/27/2025,
1881,20240001881,, $ 260.00 , $ 260.00 ,USA,Oficina,20240001881,1/27/2025,
1882,20240001882,, $ 25.00 , $ 25.00 ,USA,Oficina,20240001882,1/28/2025,
1883,20240001883,, $ 20.00 , $ 20.00 ,USA,Oficina,20240001883,1/28/2025,
1884,20240001884,, $ 55.00 , $ 55.00 ,USA,Oficina,20240001884,1/29/2025,
1885,20240001885,, $ 45.00 , $ 45.00 ,USA,Oficina,20240001885,1/29/2025,
1886,20240001886,, $ 20.00 , $ 20.00 ,USA,Oficina,20240001886,1/29/2025,
1887,20240001887,, $ 85.00 , $ 85.00 ,USA,Oficina,20240001887,1/29/2025,
1888,20240001888,, $ 23.00 , $ 23.00 ,USA,Oficina,20240001888,1/29/2025,
